# LOD divergence curve — how fast two tiers of the same scenario come apart.
# The rate is the reading. Flatness is NOT the target: a coarser decision cadence
# genuinely changes behaviour, and this measures what that costs. A gate built on this
# file asserts the curve has not worsened beyond a stated tolerance, never that it is flat.
# 'state' (count/hunger/age) is the reading; 'position' (centroid/dispersion) is diagnostic.
# pair=fidelity scenario=predator_prey ticks=3000 sample=5 quantum=16
# a_tier=Full a_seed=42 b_tier=Minimal b_seed=42
# onset_tick=5 onset=3 species differ (Deer, Rabbit, Wolf); largest component centroid=0.064884
# divergence_final=0.178047 divergence_mean=0.179744 state_mean=0.066434 position_mean=0.463019 samples=601
# window_growth=0..300 n=61 divergence=0.081780 state=0.016035 position=0.246141
# window_plateau=1800..3000 n=241 divergence=0.208723 state=0.090226 position=0.504965
# component_count kind=State mean=0.099558 growth=0.000000 plateau=0.155133
# component_hunger_mean kind=State mean=0.200543 growth=0.065784 plateau=0.260275
# component_hunger_spread kind=State mean=0.025148 growth=0.013864 plateau=0.023950
# component_age_mean kind=State mean=0.005142 growth=0.000460 plateau=0.008488
# component_age_spread kind=State mean=0.001778 growth=0.000070 plateau=0.003285
# component_centroid kind=Position mean=0.604862 growth=0.325885 plateau=0.643316
# component_dispersion kind=Position mean=0.321175 growth=0.166396 plateau=0.366613
# ceiling_plateau divergence=0.190178 state=0.080610 position=0.464099
# ceiling_fraction divergence=1.0975 state=1.1193 position=1.0881
sample_tick,divergence,state,position,count,hunger_mean,hunger_spread,age_mean,age_spread,centroid,dispersion,species_compared,checksums_differ,population_a,population_b
530,0.177600,0.029184,0.548639,0.000000,0.125262,0.020174,0.000417,0.000068,0.662518,0.434761,3,1,47,47
535,0.176933,0.029161,0.546366,0.000000,0.125566,0.019726,0.000474,0.000037,0.657610,0.435121,3,1,47,47
540,0.177671,0.028950,0.549474,0.000000,0.125255,0.018870,0.000554,0.000070,0.653120,0.445829,3,1,47,47
545,0.176274,0.028806,0.544945,0.000000,0.125521,0.017940,0.000450,0.000118,0.648915,0.440974,3,1,47,47
550,0.175940,0.028642,0.544184,0.000000,0.125188,0.017539,0.000417,0.000068,0.644820,0.443547,3,1,47,47
555,0.175378,0.028947,0.541455,0.000000,0.126662,0.017561,0.000473,0.000038,0.640733,0.442177,3,1,47,47
560,0.175591,0.028713,0.542784,0.000000,0.127123,0.015818,0.000554,0.000070,0.636332,0.449236,3,1,47,47
565,0.175043,0.028516,0.541362,0.000000,0.126996,0.015015,0.000450,0.000119,0.632318,0.450405,3,1,47,47
570,0.174492,0.028474,0.539539,0.000000,0.127048,0.014837,0.000417,0.000068,0.628395,0.450682,3,1,47,47
575,0.173856,0.028540,0.537145,0.000000,0.127790,0.014400,0.000473,0.000038,0.624467,0.449823,3,1,47,47
580,0.173627,0.028409,0.536673,0.000000,0.127959,0.013460,0.000554,0.000071,0.620425,0.452921,3,1,47,47
585,0.173087,0.028310,0.535030,0.000000,0.127973,0.013007,0.000450,0.000119,0.616471,0.453590,3,1,47,47
590,0.172268,0.028167,0.532520,0.000000,0.128006,0.012343,0.000417,0.000068,0.612668,0.452372,3,1,47,47
595,0.171899,0.028175,0.531208,0.000000,0.128570,0.011793,0.000474,0.000038,0.608931,0.453485,3,1,47,47
600,0.171561,0.028218,0.529917,0.000000,0.129202,0.011264,0.000554,0.000070,0.605555,0.454279,3,1,47,47
605,0.171029,0.028218,0.528057,0.000000,0.129389,0.011133,0.000450,0.000119,0.602305,0.453809,3,1,47,47
610,0.170233,0.027921,0.526013,0.000000,0.129093,0.010026,0.000417,0.000068,0.598611,0.453415,3,1,47,47
615,0.169577,0.027908,0.523748,0.000000,0.129364,0.009664,0.000473,0.000039,0.595027,0.452470,3,1,47,47
620,0.168929,0.027947,0.521385,0.000000,0.129323,0.009786,0.000554,0.000071,0.591214,0.451555,3,1,47,47
625,0.167971,0.027808,0.518380,0.000000,0.129276,0.009195,0.000450,0.000119,0.587323,0.449436,3,1,47,47
630,0.167446,0.027830,0.516487,0.000000,0.130016,0.008651,0.000417,0.000067,0.583688,0.449286,3,1,47,47
635,0.166462,0.027872,0.512938,0.000000,0.130474,0.008375,0.000473,0.000039,0.580143,0.445733,3,1,47,47
640,0.165117,0.027545,0.509047,0.000000,0.129539,0.007563,0.000554,0.000071,0.576856,0.441239,3,1,47,47
645,0.164311,0.027484,0.506378,0.000000,0.130019,0.006833,0.000450,0.000119,0.573813,0.438944,3,1,47,47
650,0.163580,0.027742,0.503177,0.000000,0.131710,0.006514,0.000417,0.000067,0.570800,0.435553,3,1,47,47
655,0.163017,0.027851,0.500933,0.000000,0.132269,0.006473,0.000473,0.000039,0.567747,0.434120,3,1,47,47
660,0.162604,0.028447,0.497994,0.000000,0.133221,0.008391,0.000554,0.000071,0.564883,0.431106,3,1,47,47
665,0.162244,0.028647,0.496239,0.000000,0.133084,0.009580,0.000450,0.000120,0.562021,0.430457,3,1,47,47
670,0.161789,0.028780,0.494313,0.000000,0.133893,0.009521,0.000417,0.000067,0.559274,0.429351,3,1,47,47
675,0.161069,0.028692,0.492012,0.000000,0.133874,0.009074,0.000473,0.000039,0.556502,0.427521,3,1,47,47
680,0.168974,0.040129,0.491087,0.041667,0.141642,0.012189,0.003636,0.001510,0.553869,0.428306,3,1,48,47
685,0.169354,0.040582,0.491284,0.041667,0.142918,0.013114,0.003788,0.001421,0.551644,0.430924,3,1,48,47
690,0.170144,0.040801,0.493501,0.041667,0.144518,0.012541,0.003778,0.001504,0.549822,0.437179,3,1,48,47
695,0.170916,0.040594,0.496720,0.041667,0.144190,0.011942,0.003694,0.001475,0.548622,0.444819,3,1,48,47
700,0.172028,0.041323,0.498789,0.041667,0.145980,0.013829,0.003634,0.001505,0.547751,0.449826,3,1,48,47
705,0.171621,0.041233,0.497593,0.041667,0.145666,0.013628,0.003786,0.001417,0.546977,0.448209,3,1,48,47
